"genes"	"modules"
"MAB21L1"	"M1"
"SRL"	"M2"
"HOXA4"	"M1"
"PLIN5"	"M1"
"ASPA"	"M2"
"FGF13"	"M1"
"LRRC3B"	"M4"
"CNTN3"	"M7"
"MSX2"	"M1"
"SLC7A14"	"M4"
"HS3ST1"	"M6"
"IGSF21"	"M2"
"HOXA7"	"M1"
"GSTM5"	"M1"
"GDF15"	"M3"
"MYZAP"	"M6"
"NDP"	"M7"
"PPP4R4"	"M2"
"ME1"	"Not.Correlated"
"LGI2"	"M3"
"GABRD"	"Not.Correlated"
"CH25H"	"M3"
"GABRA3"	"M4"
"DGKB"	"M7"
"CLEC5A"	"M3"
"HOXA5"	"M1"
"ADAMTS8"	"M1"
"KCNK10"	"M4"
"CDH10"	"M7"
"MAFA"	"M4"
"BIRC5"	"M8"
"CXCL14"	"M3"
"SFRP1"	"M8"
"SPX"	"M7"
"MMP7"	"M3"
"LONRF3"	"M1"
"GRHL3"	"M3"
"IGF2BP3"	"M2"
"RRM2"	"M8"
"DCC"	"M9"
"KCNH3"	"M5"
"LRRC74B"	"M5"
"PRLR"	"M2"
"HHIP"	"M2"
"HOXC4"	"M1"
"MGAT5B"	"M2"
"ARSJ"	"M3"
"NEFM"	"M1"
"ADRA1A"	"M1"
"ACTN2"	"Not.Correlated"
"HOXA13"	"Not.Correlated"
"PLAG1"	"M2"
"FBXO17"	"M1"
"TLX1"	"M4"
"CYP27C1"	"M4"
"GPR39"	"M5"
"PLPP4"	"M2"
"SP6"	"M6"
"GRIA2"	"M9"
"CA4"	"M2"
"TUBA4B"	"M5"
"TUNAR"	"M5"
"WDR86"	"M1"
"COL20A1"	"M9"
"SP5"	"M4"
"RASGRF1"	"M1"
"COPZ2"	"M1"
"PHACTR3"	"M7"
"TTLL10"	"M5"
"CDK1"	"M8"
"CACNG8"	"M2"
"ESM1"	"M3"
"HOXB4"	"M1"
"KCNK13"	"M2"
"SFRP5"	"M1"
"FNDC11"	"M4"
"CDHR4"	"M5"
"USH1C"	"M2"
"KCNC1"	"M1"
"EYA1"	"M5"
"P2RY6"	"M3"
"SLC6A3"	"M4"
"NXPH4"	"M3"
"DYNC1I1"	"M2"
"SORCS3"	"M6"
"CYP11A1"	"M5"
"PCSK1"	"M3"
"S100A8"	"M3"
"CHADL"	"M1"
"ETV4"	"Not.Correlated"
"SLC12A1"	"M2"
"ACSM5"	"M1"
"MYH11"	"M6"
"CFC1"	"M1"
"HCN4"	"M2"
"CCL4"	"M6"
"INMT"	"M6"
"PI15"	"M3"
"WT1"	"Not.Correlated"
"MAL2"	"Not.Correlated"
"SLCO1A2"	"M7"
"LRRC4C"	"M4"
"MAMDC2"	"Not.Correlated"
"TCTEX1D4"	"M5"
"RIMS1"	"M2"
"LILRB3"	"M3"
"TWIST1"	"Not.Correlated"
"DPEP1"	"M2"
"FERMT1"	"M2"
"IL17RB"	"M7"
"CILP"	"M1"
"TMEM200A"	"M2"
"OSM"	"M3"
"RAB3B"	"Not.Correlated"
"BRINP3"	"M2"
"HECW1"	"M1"
"LYVE1"	"M3"
"VDR"	"M3"
"ARHGEF5"	"M2"
"KCNE1B"	"M5"
"ETNPPL"	"M1"
"EDA2R"	"Not.Correlated"
"EN2"	"Not.Correlated"
"SV2C"	"Not.Correlated"
"GALNT13"	"M9"
"CR1"	"M3"
"NPY"	"Not.Correlated"
"ABCA13"	"M3"
"TRPV3"	"M4"
"CCDC153"	"M5"
"AQP9"	"M3"
"CHODL"	"M2"
"CRYM"	"M4"
"F2RL2"	"M2"
"GRM5"	"M7"
"PRND"	"M2"
"ATP6V1C2"	"M4"
"JPH3"	"M4"
"CNGA4"	"M5"
"BCHE"	"M8"
"LEFTY2"	"M1"
"CTNNA3"	"M2"
"ADGRD2"	"M5"
"CCDC152"	"M1"
"NCAPG"	"M8"
"SYT5"	"M2"
"MRGPRF"	"M3"
"KCNT1"	"M4"
"SLC6A12"	"M2"
"AKAP14"	"M5"
"SIRPB1"	"M2"
"OTX1"	"Not.Correlated"
"KBTBD12"	"M4"
"RPH3A"	"M2"
"EDN3"	"M2"
"HIST1H2AJ"	"M8"
"PITX1"	"Not.Correlated"
"CPNE5"	"M1"
"GABRB1"	"M4"
"KNCN"	"M5"
"PRSS35"	"M4"
"CLCF1"	"M6"
"NOL4"	"M2"
"KRT75"	"M4"
"NSUN7"	"M1"
"CALN1"	"M1"
"LRFN1"	"M1"
"OLIG3"	"M2"
"BRINP1"	"M9"
"MYBL2"	"M8"
"IRAK2"	"M3"
"SOX3"	"M4"
"ELMOD1"	"M5"
"CXorf67"	"M2"
"NPFFR1"	"M2"
"SCNN1B"	"M2"
"SLPI"	"M3"
"PLAC9"	"M2"
"SYN2"	"M2"
"TPSB2"	"Not.Correlated"
"IBSP"	"M3"
"PGR"	"M2"
"TOX3"	"M4"
"DSCAML1"	"M8"
"GJC2"	"M4"
"ST8SIA5"	"M9"
"ARHGAP28"	"M8"
"C4orf22"	"M5"
"EVA1A"	"M6"
"STMN4"	"M4"
"HOXC10"	"Not.Correlated"
"LRFN5"	"M2"
"SRPX"	"M1"
"OPCML"	"M9"
"CHRM3"	"M1"
"PAK5"	"M4"
"PTGER2"	"M6"
"CPZ"	"M6"
"C5orf38"	"M2"
"CAMK4"	"M8"
"SPHKAP"	"M2"
"HMGCLL1"	"M1"
"CNNM1"	"M1"
"SNAI1"	"M1"
"MYOC"	"M1"
"NETO1"	"M2"
"KCNH5"	"M2"
"MSTN"	"M7"
"GRM8"	"M2"
"PCDHB3"	"M2"
"AGBL1"	"M1"
"PCDH15"	"M9"
"RYR2"	"Not.Correlated"
"GRIK2"	"M2"
"HTR2A"	"M2"
"BDKRB2"	"M6"
"TMEM132D"	"M9"
"HCN2"	"M4"
"KAZALD1"	"M2"
"CHRD"	"M1"
"ATP10B"	"M9"
"ATAD3C"	"M4"
"VGLL3"	"M2"
"CA10"	"M9"
"NRG4"	"M5"
"ANKRD1"	"M3"
"RGS6"	"M2"
"SH2D5"	"M4"
"SLC2A4"	"M1"
"TFAP2C"	"M4"
"MUC3A"	"M3"
"NPIPA5"	"M2"
"FGF10"	"M1"
"DGAT2"	"M2"
"ERBB3"	"M9"
"RIMS2"	"M1"
"EPHA10"	"M4"
"TLE2"	"M1"
"SYT4"	"M4"
"KCNN1"	"M2"
"HPD"	"M1"
"MEDAG"	"M6"
"SAA2"	"M3"
"KCNIP1"	"M4"
"P2RY2"	"M2"
"IL1R2"	"M3"
"PLN"	"M2"
"TRIM67"	"M2"
"SIGLEC14"	"M3"
"FCGR3B"	"M3"
"HOXA2"	"M1"
"VIPR1"	"M4"
"OXTR"	"M3"
"MUC12"	"Not.Correlated"
"COL23A1"	"M2"
"STMN2"	"M9"
"LMNTD1"	"M5"
"IL18R1"	"M4"
"HOXD3"	"M1"
"AZGP1"	"M2"
"RNF175"	"M1"
"SDS"	"M3"
"BARX2"	"M1"
"ADGRG3"	"M3"
"UNC13C"	"M1"
"ACP5"	"M3"
"TRPC4"	"M2"
"SCN2B"	"M2"
"HOXB8"	"M6"
"C14orf180"	"M5"
"ACADL"	"M2"
"WNT7A"	"M2"
"NECAB2"	"M5"
"PCDH20"	"Not.Correlated"
"KIF18B"	"M8"
"VWC2"	"M1"
"HRASLS5"	"M1"
"HLA-DQA2"	"M3"
"F8A3"	"M1"
"HSF4"	"M3"
"SLC29A2"	"M1"
"FZD10"	"M2"
"CCL3L3"	"M6"
"C2orf71"	"M1"
"TRABD2B"	"M6"
"C1QL2"	"M9"
"KCNH6"	"M4"
"NRIP2"	"M4"
"AMH"	"M1"
"NAALAD2"	"M2"
"DACH2"	"M2"
"DMRT2"	"M4"
"RGS20"	"M2"
"SLITRK4"	"M4"
"DMRTA1"	"M4"
"CALB2"	"M4"
"MFAP5"	"M2"
"KCNF1"	"M2"
"FCGR2B"	"M3"
"UBE2C"	"M8"
"IGFBP6"	"M6"
"KCNJ13"	"M5"
"PCDH11X"	"M9"
"HIST1H4L"	"M8"
"IL1RN"	"M3"
"DDN"	"M1"
"SLC17A7"	"M2"
"HMX1"	"M4"
"MAL"	"M1"
"KIF20A"	"M8"
"FSD1"	"M8"
"TRDN"	"M5"
"PODNL1"	"M2"
"GAD1"	"M4"
"TACR1"	"M3"
"ALPK2"	"M3"
"RARRES1"	"M3"
"CACNG6"	"M1"
"LRRN4CL"	"M3"
"GRB14"	"M4"
"PCDHA3"	"M2"
"PAX2"	"M1"
"PRLHR"	"M2"
"TMEM200B"	"M3"
"HNF1B"	"M1"
"GABRQ"	"M4"
"CORO6"	"M1"
"CDC42BPG"	"M5"
"TCERG1L"	"M4"
"TWIST2"	"M3"
"HOXC6"	"Not.Correlated"
"RET"	"M3"
"NTSR2"	"M7"
"KRT5"	"M2"
"EIF1AY"	"Not.Correlated"
"SFN"	"M3"
"HOXB6"	"M1"
"KCNQ5"	"M3"
"OGN"	"M2"
"FAP"	"M2"
"RGPD2"	"M2"
"DRP2"	"M4"
"CA14"	"M1"
"FOXB1"	"M6"
"CELF3"	"M4"
"OMG"	"M2"
"CCL28"	"M3"
"ADAMTS19"	"M4"
"MT1M"	"M1"
"C11orf16"	"M1"
"WISP1"	"M1"
"HOXD4"	"M1"
"SORCS1"	"M4"
"CDH7"	"M4"
"C9orf135"	"M5"
"SLAMF8"	"M3"
"HK3"	"M3"
"PIH1D3"	"M5"
"CNN1"	"M3"
"HPR"	"M2"
"DOK7"	"M4"
"SLC30A2"	"M4"
"CXCR2"	"M3"
"CLVS1"	"M5"
"C1QTNF4"	"M2"
"ACTG2"	"M3"
"CDH15"	"M2"
"ITGB7"	"M1"
"CRABP1"	"M8"
"CCDC60"	"M5"
"TBC1D3L"	"M3"
"MMD2"	"M8"
"HMCN2"	"M6"
"MATK"	"M5"
"APCDD1L"	"M3"
"OTOS"	"M2"
"MGAT4C"	"M2"
"HOXA9"	"M6"
"PLD5"	"M2"
"HOXA10"	"Not.Correlated"
"IGLON5"	"M9"
"C22orf15"	"M5"
"MARCO"	"M3"
"ZNF648"	"M2"
"CCL5"	"M3"
"GALNTL6"	"M2"
"PTPN20"	"M5"
"RBFOX3"	"M8"
"PLA2G2A"	"M3"
"ZMAT4"	"M2"
"RLBP1"	"M2"
"UGT8"	"M9"
"TG"	"M2"
"PCDHA2"	"M2"
"TTC16"	"M5"
"SLC34A2"	"M3"
"WDR72"	"M1"
"PRRT4"	"M1"
"NDST3"	"M2"
"LRRC7"	"M5"
"C11orf97"	"M5"
"TFPI2"	"M3"
"RBFOX1"	"M2"
"TNFRSF18"	"M4"
"IL11"	"M3"
"IP6K3"	"M1"
"SH3GL3"	"M5"
"PIGZ"	"M2"
"MYOM3"	"M5"
"STK26"	"M2"
"STRA6"	"M8"
"TEX15"	"M1"
"MPP7"	"M2"
"HOXC8"	"Not.Correlated"
"SLC17A8"	"M1"
"PCDHA6"	"M2"
"RXRG"	"M1"
"LNX1"	"M4"
"GABRB2"	"M2"
"XIRP1"	"M3"
"NTNG1"	"M2"
"PRAME"	"M2"
"JCHAIN"	"M3"
"TBX5"	"M4"
"PPP1R17"	"M4"
"SPTSSB"	"M4"
"CACNA2D3"	"M1"
"KCNH7"	"M8"
"TGM3"	"M5"
"CCL4L2"	"M6"
"NEUROG2"	"M4"
"LCNL1"	"M2"
"DUOX1"	"M2"
"INSM1"	"M4"
"SLC6A15"	"M2"
"SYT13"	"M8"
"IL7R"	"M3"
"WFDC2"	"M1"
"FAM184B"	"M4"
"DRD4"	"M1"
"SCN7A"	"Not.Correlated"
"PCDHA9"	"M2"
"UNC5D"	"Not.Correlated"
"SP8"	"Not.Correlated"
"CGREF1"	"M2"
"AMZ1"	"M8"
"GPR55"	"M1"
"TRIM17"	"M2"
"CMTM5"	"M2"
"FPR2"	"M3"
"KREMEN2"	"M1"
"HOXD8"	"Not.Correlated"
"MMP23B"	"M4"
"TFF3"	"M1"
"PRSS56"	"M4"
"GDF6"	"M6"
"FBN3"	"M8"
"PBK"	"M8"
"CYP21A2"	"M3"
"C6"	"M2"
"DLGAP5"	"M8"
"PTGDR"	"M5"
"BCL2A1"	"M3"
"CLEC18A"	"M1"
"CPLX2"	"M9"
"KCNJ9"	"M7"
"HOXA11"	"Not.Correlated"
"HDC"	"M4"
"SV2B"	"Not.Correlated"
"NELL1"	"M4"
"NRK"	"M2"
"AQP5"	"M2"
"LEFTY1"	"M1"
"SLC10A4"	"M2"
"ELAVL2"	"M8"
"KCTD8"	"M2"
"COL6A6"	"M2"
"KLHL4"	"M2"
"OTX2"	"Not.Correlated"
"SLC8A2"	"M1"
"HRCT1"	"M1"
"LHFPL3"	"M9"
"SRRM3"	"M1"
"KY"	"M5"
"LAMB3"	"M3"
"GBX2"	"Not.Correlated"
"TMEM130"	"M2"
"SPATS1"	"M5"
"CREB3L1"	"M3"
"LPIN3"	"M1"
"ESX1"	"M4"
"ZNF311"	"M2"
"CXCR1"	"M3"
"GPR143"	"M2"
"CDH8"	"M4"
"LMX1A"	"M1"
"ESPN"	"M2"
"LBX1"	"M4"
"POTEI"	"M5"
"TMEM221"	"M1"
"CLMP"	"M3"
"RNF207"	"M4"
"MT1G"	"M1"
"E2F2"	"M8"
"USP6"	"Not.Correlated"
"MTMR7"	"M7"
"SRD5A2"	"M5"
"KRT8"	"M6"
"DEPDC1B"	"M8"
"PACSIN1"	"M1"
"FRMPD4"	"M5"
"HOXB7"	"M1"
"PLPPR1"	"M9"
"ELAVL4"	"M4"
"DLL3"	"M9"
"MEFV"	"M3"
"HCAR2"	"M3"
"MYT1"	"M9"
"HES3"	"M4"
"GDF5"	"M4"
"C4BPA"	"M3"
"OSR1"	"M1"
"MDGA2"	"M9"
"MMEL1"	"M1"
"SYNGR3"	"M2"
"BMP8B"	"M2"
"WFDC1"	"M5"
"GATA5"	"M4"
"TMEM105"	"M4"
"GSTT2B"	"M1"
"PRRG3"	"M9"
"ASCL2"	"M4"
"SIX3"	"M4"
"KMO"	"M3"
"PRKCQ"	"M1"
"PTGES"	"M3"
"SLC8A3"	"M9"
"AQP7"	"M1"
"EDN2"	"M4"
"UBD"	"M3"
"XG"	"M2"
"SCUBE1"	"M2"
"ABCC8"	"M2"
"AK5"	"M6"
"GAL"	"M3"
"WNT4"	"M5"
"MCM10"	"M8"
"SERPINI2"	"M5"
"MCHR1"	"M3"
"ZNF488"	"M8"
"RPRM"	"M4"
"COL4A3"	"M1"
"ERMN"	"Not.Correlated"
"CLUL1"	"Not.Correlated"
"SLC23A1"	"M1"
"TPSAB1"	"Not.Correlated"
"PCDHA7"	"M2"
"LRRC18"	"M5"
"SOWAHA"	"M1"
"SLC7A10"	"M4"
"VSX1"	"Not.Correlated"
"WNT10B"	"M1"
"HMGA2"	"M3"
"MYH2"	"M6"
"SLC4A10"	"M7"
"VSX2"	"Not.Correlated"
"CA7"	"M1"
"EN1"	"M1"
"TTR"	"M1"
"CELF5"	"M4"
"MOBP"	"M5"
"RTN4RL2"	"M2"
"MYBPC1"	"M1"
"ADAMTS14"	"M3"
"TNFSF14"	"M3"
"OCA2"	"M5"
"CD300E"	"M3"
"MYL3"	"M2"
"LRFN2"	"M1"
"C14orf105"	"M1"
"LMO1"	"M4"
"C1orf141"	"M5"
"EFNA2"	"M4"
"SLITRK3"	"M9"
"BCL11B"	"M3"
"CHST8"	"M2"
"POU2AF1"	"M2"
"GALNT5"	"M4"
"GLP1R"	"M2"
"KCNA1"	"M2"
"IL1RAPL1"	"M4"
"GLT1D1"	"M1"
"FTCDNL1"	"M1"
"TMEM266"	"M1"
"FOLH1"	"M8"
"HAMP"	"M3"
"SERTM1"	"Not.Correlated"
"KCNK5"	"Not.Correlated"
"DMRT3"	"M4"
"ANKRD29"	"M5"
"SLC25A48"	"M1"
"CES1"	"M3"
"FOXC2"	"M3"
"PNOC"	"M4"
"CPA4"	"M3"
"TGM5"	"M5"
"ANO7"	"M3"
"PAX7"	"Not.Correlated"
"ZNF804A"	"M9"
"SDR42E2"	"M5"
"SEC14L5"	"M1"
"HPSE2"	"M1"
"HTR1D"	"M2"
"SNCB"	"M4"
"EBF2"	"M4"
"LRG1"	"M3"
"SHISA7"	"M9"
"FGF9"	"M8"
"ANO4"	"M4"
"NKX3-1"	"M1"
"NKX2-2"	"M9"
"ENPP6"	"M1"
"DUSP2"	"M6"
"ITIH2"	"Not.Correlated"
"GRB7"	"M5"
"SLC22A6"	"M2"
"RALYL"	"M4"
"CCNO"	"M5"
"VSTM2A"	"M1"
"PPBP"	"M3"
"BPIFB2"	"M2"
"DGKK"	"M1"
"TLL1"	"Not.Correlated"
"DHH"	"M4"
"NXNL2"	"M1"
"ADRA1D"	"M4"
"HOXB9"	"M6"
"PCDHB1"	"M5"
"GAD2"	"M4"
"CYP2J2"	"M2"
"MCTP2"	"M3"
"HOXA6"	"M1"
"HES2"	"M4"
"RIIAD1"	"M5"
"MAP1LC3C"	"M1"
"FAM111B"	"M8"
"ZNF556"	"M2"
"HSD11B2"	"M1"
"CHGA"	"M4"
"PCDHA12"	"M1"
"VEPH1"	"M5"
"LILRA6"	"M3"
"PAX8"	"M1"
"AURKB"	"M8"
"MC4R"	"M1"
"RBP4"	"M1"
"ZNF114"	"M2"
"COLEC11"	"M2"
"KCNJ6"	"Not.Correlated"
"CDH1"	"Not.Correlated"
"SHISA2"	"M3"
"PRR35"	"M4"
"NPY1R"	"M1"
"GREM1"	"M3"
"HCAR3"	"M3"
"ART3"	"M5"
"CREG2"	"M3"
"HOXB5"	"M1"
"TRHDE"	"Not.Correlated"
"KBTBD11-OT1"	"M3"
"POMC"	"M1"
"SYT10"	"Not.Correlated"
"NECAB1"	"M4"
"GJB2"	"M3"
"ALOX15B"	"M3"
"IL21R"	"M3"
"IGFBPL1"	"M2"
"SYPL2"	"M1"
"MYB"	"M5"
"SLC39A2"	"Not.Correlated"
"NHLH1"	"M8"
"DEUP1"	"M5"
"FCN1"	"M3"
"CXCL10"	"M3"
"GLI1"	"M2"
"PTX4"	"M2"
"ANGPTL7"	"M1"
"VAX2"	"M2"
"AOC3"	"M3"
"MRAP"	"M5"
"GATA6"	"M6"
"PON3"	"Not.Correlated"
"ANXA3"	"M5"
"NTF3"	"M2"
"LRRC15"	"M3"
"COL24A1"	"M2"
"MUC6"	"M2"
"KCNK2"	"M1"
"TCEAL6"	"Not.Correlated"
"SLC26A7"	"M4"
"CRH"	"M4"
"CCL20"	"M3"
"IRS4"	"Not.Correlated"
"MARVELD3"	"M2"
"HS3ST2"	"M3"
"FA2H"	"M5"
"HTR2C"	"Not.Correlated"
"LRRTM3"	"M9"
"ASIC4"	"M9"
"CATSPERD"	"M5"
"RAB27B"	"M3"
"HOXC13"	"Not.Correlated"
"KCNB2"	"M2"
"LCN12"	"M1"
"SLC27A2"	"M1"
"CNMD"	"M5"
"INA"	"M9"
"LARGE2"	"M4"
"EOMES"	"M4"
"TP63"	"Not.Correlated"
"TMSB4Y"	"Not.Correlated"
"GAL3ST1"	"M1"
"IL1A"	"M3"
"KCNA4"	"M1"
"GRIN3A"	"M2"
"IL1RL1"	"M3"
"CCBE1"	"M3"
"WNT9B"	"M1"
"LCN2"	"M3"
"AREG"	"M3"
"TRIM6"	"M5"
"FGF7"	"Not.Correlated"
"EBF3"	"Not.Correlated"
"KCNN4"	"M3"
"TNFRSF6B"	"M3"
"TMEFF2"	"M9"
"KLHDC7A"	"M1"
"RHCG"	"M2"
"SLC28A3"	"M5"
"BEAN1"	"M2"
"HLA-DQB2"	"M3"
"PCDHA5"	"M2"
"DPP4"	"M3"
"PRAC1"	"Not.Correlated"
"SLC51B"	"M5"
"LHFPL4"	"M9"
"HBG2"	"M6"
"NFE2"	"M1"
"CLDN19"	"M2"
"FABP6"	"M5"
"ZNF727"	"M4"
"SVOPL"	"M5"
"ENDOU"	"M2"
"NRTN"	"M2"
"PRAP1"	"M4"
"SULT4A1"	"M4"
"SCNN1A"	"M1"
"LAMP3"	"M4"
"TUBB1"	"M3"
"RTP1"	"M2"
"CCDC158"	"M1"
"LINGO2"	"M5"
"TP53AIP1"	"M2"
"SCNN1G"	"M3"
"TMC5"	"M2"
"NEUROD2"	"M4"
"YBX2"	"M1"
"CYP4B1"	"M1"
"NHLH2"	"M2"
"LINGO4"	"M1"
"ACVR1C"	"M4"
"CD8A"	"M2"
"TTLL6"	"M5"
"KCNJ15"	"M3"
"SNTG1"	"Not.Correlated"
"NLRP2"	"M3"
"LIPJ"	"M5"
"CD300LG"	"M1"
"LRRC8E"	"M6"
"NRAP"	"M6"
"ICAM5"	"M3"
"ENTPD3"	"M2"
"PROK2"	"M1"
"ZFR2"	"M2"
"SIX1"	"Not.Correlated"
"RGS8"	"M9"
"SPESP1"	"M2"
"CYB5R2"	"M2"
"FAM180B"	"M2"
"AMIGO3"	"M1"
"DMRTA2"	"M4"
"KIRREL2"	"M3"
"MYT1L"	"M9"
"ADRA2B"	"M1"
"CD209"	"M3"
"DLX1"	"M4"
"STAC"	"M1"
"ANKRD20A2"	"M2"
"SLC13A5"	"M3"
"F2RL3"	"M6"
"FOXQ1"	"M9"
"RNF212"	"Not.Correlated"
"ENTPD8"	"M5"
"PAH"	"M2"
"NOX5"	"Not.Correlated"
"GPR84"	"M3"
"BHLHE22"	"M4"
"MARCH4"	"M6"
"M1AP"	"M2"
"FAT2"	"M3"
"SIM2"	"Not.Correlated"
"NKAIN1"	"M9"
"AQP3"	"M1"
"GABRA4"	"M4"
"OSR2"	"Not.Correlated"
"UMODL1"	"M2"
"KRT80"	"M6"
"MAG"	"M9"
"FCAR"	"M3"
"RGS9BP"	"M2"
"PROK1"	"M2"
"FSIP2"	"Not.Correlated"
"GLRA1"	"Not.Correlated"
"RGS7"	"M1"
"WNT1"	"M1"
"TDGF1"	"M5"
"PTGER3"	"Not.Correlated"
"BEST3"	"M4"
"PSORS1C1"	"M3"
"ARHGAP36"	"M7"
"DBX1"	"Not.Correlated"
"TMEM229A"	"M5"
"MALRD1"	"Not.Correlated"
"FAM131C"	"M1"
"CWH43"	"M2"
"STMND1"	"M5"
"MSLN"	"M1"
"BHMT2"	"M2"
"NXPH1"	"M9"
"ACTC1"	"M2"
"GALR1"	"M9"
"GRM7"	"M9"
"PLA2G7"	"M4"
"CBLN2"	"M8"
"ESPNL"	"M2"
"PCSK2"	"M9"
"TNF"	"M6"
"SEMA3E"	"M9"
"GOLGA8O"	"M1"
"CNTNAP5"	"M9"
"C6orf223"	"M3"
"HRH3"	"M4"
