pathway_id	pathway_description	pvalue	cancer_group	gene_parsed_by
path:hsa04510	0.15484515484515485	Focal adhesion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04512	0.15084915084915085	ECM-receptor interaction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04514	0.27672327672327673	Cell adhesion molecules - Homo sapiens (human)	Medullo	FOLH1
path:hsa04520	0.030969030969030968	Adherens junction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04530	0.3826173826173826	Tight junction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04540	0.01098901098901099	Gap junction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04550	0.05094905094905095	Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human)	Medullo	FOLH1
path:hsa04610	0.8691308691308691	Complement and coagulation cascades - Homo sapiens (human)	Medullo	FOLH1
path:hsa04611	0.21678321678321677	Platelet activation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04612	0.22877122877122877	Antigen processing and presentation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04613	0.5664335664335665	Neutrophil extracellular trap formation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04614	0.938061938061938	Renin-angiotensin system - Homo sapiens (human)	Medullo	FOLH1
path:hsa04620	0.003996003996003996	Toll-like receptor signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04621	0.0979020979020979	NOD-like receptor signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04622	0.3956043956043956	RIG-I-like receptor signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04623	0.04495504495504495	Cytosolic DNA-sensing pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04625	0.20679320679320679	C-type lectin receptor signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04630	0.6943056943056943	JAK-STAT signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04640	0.04795204795204795	Hematopoietic cell lineage - Homo sapiens (human)	Medullo	FOLH1
path:hsa04650	0.47952047952047955	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	Medullo	FOLH1
path:hsa04657	0.7132867132867133	IL-17 signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04658	0.23476523476523475	Th1 and Th2 cell differentiation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04659	0.1048951048951049	Th17 cell differentiation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04660	0.14485514485514486	T cell receptor signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04662	0.3256743256743257	B cell receptor signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04664	0.1928071928071928	Fc epsilon RI signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04666	0.07592407592407592	Fc gamma R-mediated phagocytosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa04668	0.2677322677322677	TNF signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04670	0.2787212787212787	Leukocyte transendothelial migration - Homo sapiens (human)	Medullo	FOLH1
path:hsa04672	0.3966033966033966	Intestinal immune network for IgA production - Homo sapiens (human)	Medullo	FOLH1
path:hsa04710	0.5064935064935064	Circadian rhythm - Homo sapiens (human)	Medullo	FOLH1
path:hsa04713	0.002997002997002997	Circadian entrainment - Homo sapiens (human)	Medullo	FOLH1
path:hsa04714	0.6043956043956044	Thermogenesis - Homo sapiens (human)	Medullo	FOLH1
path:hsa04720	0.016983016983016984	Long-term potentiation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04721	0.34165834165834164	Synaptic vesicle cycle - Homo sapiens (human)	Medullo	FOLH1
path:hsa04722	0.4145854145854146	Neurotrophin signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04723	0.16583416583416583	Retrograde endocannabinoid signaling - Homo sapiens (human)	Medullo	FOLH1
path:hsa04724	0.03196803196803197	Glutamatergic synapse - Homo sapiens (human)	Medullo	FOLH1
path:hsa04725	0.014985014985014986	Cholinergic synapse - Homo sapiens (human)	Medullo	FOLH1
path:hsa04726	0.057942057942057944	Serotonergic synapse - Homo sapiens (human)	Medullo	FOLH1
path:hsa04727	0.005994005994005994	GABAergic synapse - Homo sapiens (human)	Medullo	FOLH1
path:hsa04728	0.15484515484515485	Dopaminergic synapse - Homo sapiens (human)	Medullo	FOLH1
path:hsa04730	0.015984015984015984	Long-term depression - Homo sapiens (human)	Medullo	FOLH1
path:hsa04740	0.14085914085914086	Olfactory transduction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04742	0.5014985014985015	Taste transduction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04744	0.12387612387612387	Phototransduction - Homo sapiens (human)	Medullo	FOLH1
path:hsa04750	0.002997002997002997	Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	Medullo	FOLH1
path:hsa04810	0.2827172827172827	Regulation of actin cytoskeleton - Homo sapiens (human)	Medullo	FOLH1
path:hsa04910	0.32667332667332666	Insulin signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04911	0.003996003996003996	Insulin secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04912	0.001998001998001998	GnRH signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04913	0.015984015984015984	Ovarian steroidogenesis - Homo sapiens (human)	Medullo	FOLH1
path:hsa04914	0.03996003996003996	Progesterone-mediated oocyte maturation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04915	0.016983016983016984	Estrogen signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04916	0.0989010989010989	Melanogenesis - Homo sapiens (human)	Medullo	FOLH1
path:hsa04917	0.18281718281718282	Prolactin signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04918	0.022977022977022976	Thyroid hormone synthesis - Homo sapiens (human)	Medullo	FOLH1
path:hsa04919	0.052947052947052944	Thyroid hormone signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04920	0.16183816183816183	Adipocytokine signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04921	0.001998001998001998	Oxytocin signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04922	0.3626373626373626	Glucagon signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04923	0.5844155844155844	Regulation of lipolysis in adipocytes - Homo sapiens (human)	Medullo	FOLH1
path:hsa04924	0.5704295704295704	Renin secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04925	9.99000999000999e-4	Aldosterone synthesis and secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04926	0.0989010989010989	Relaxin signaling pathway - Homo sapiens (human)	Medullo	FOLH1
path:hsa04927	0.053946053946053944	Cortisol synthesis and secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04928	0.1848151848151848	Parathyroid hormone synthesis, secretion and action - Homo sapiens (human)	Medullo	FOLH1
path:hsa04929	0.04295704295704296	GnRH secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04930	0.6563436563436563	Type II diabetes mellitus - Homo sapiens (human)	Medullo	FOLH1
path:hsa04931	0.0919080919080919	Insulin resistance - Homo sapiens (human)	Medullo	FOLH1
path:hsa04932	0.6943056943056943	Non-alcoholic fatty liver disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa04933	0.4195804195804196	AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)	Medullo	FOLH1
path:hsa04934	0.07192807192807193	Cushing syndrome - Homo sapiens (human)	Medullo	FOLH1
path:hsa04935	0.11888111888111888	Growth hormone synthesis, secretion and action - Homo sapiens (human)	Medullo	FOLH1
path:hsa04936	0.0989010989010989	Alcoholic liver disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa04940	0.5984015984015985	Type I diabetes mellitus - Homo sapiens (human)	Medullo	FOLH1
path:hsa04950	0.3706293706293706	Maturity onset diabetes of the young - Homo sapiens (human)	Medullo	FOLH1
path:hsa04960	0.04795204795204795	Aldosterone-regulated sodium reabsorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04961	0.17482517482517482	Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04962	0.17682317682317683	Vasopressin-regulated water reabsorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04964	0.058941058941058944	Proximal tubule bicarbonate reclamation - Homo sapiens (human)	Medullo	FOLH1
path:hsa04966	0.2047952047952048	Collecting duct acid secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04970	0.05194805194805195	Salivary secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04971	0.08891108891108891	Gastric acid secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04972	0.002997002997002997	Pancreatic secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04973	0.030969030969030968	Carbohydrate digestion and absorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04974	0.2547452547452547	Protein digestion and absorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04975	0.7682317682317682	Fat digestion and absorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04976	0.21578421578421578	Bile secretion - Homo sapiens (human)	Medullo	FOLH1
path:hsa04977	0.2887112887112887	Vitamin digestion and absorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04978	0.33466533466533466	Mineral absorption - Homo sapiens (human)	Medullo	FOLH1
path:hsa04979	0.006993006993006993	Cholesterol metabolism - Homo sapiens (human)	Medullo	FOLH1
path:hsa05010	0.4975024975024975	Alzheimer disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05012	0.7322677322677322	Parkinson disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05014	0.6483516483516484	Amyotrophic lateral sclerosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05016	0.6013986013986014	Huntington disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05017	0.6773226773226774	Spinocerebellar ataxia - Homo sapiens (human)	Medullo	FOLH1
path:hsa05020	0.4945054945054945	Prion disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05022	0.5704295704295704	Pathways of neurodegeneration - multiple diseases - Homo sapiens (human)	Medullo	FOLH1
path:hsa05030	0.04895104895104895	Cocaine addiction - Homo sapiens (human)	Medullo	FOLH1
path:hsa05031	0.014985014985014986	Amphetamine addiction - Homo sapiens (human)	Medullo	FOLH1
path:hsa05032	0.004995004995004995	Morphine addiction - Homo sapiens (human)	Medullo	FOLH1
path:hsa05033	0.013986013986013986	Nicotine addiction - Homo sapiens (human)	Medullo	FOLH1
path:hsa05034	0.02197802197802198	Alcoholism - Homo sapiens (human)	Medullo	FOLH1
path:hsa05100	0.3836163836163836	Bacterial invasion of epithelial cells - Homo sapiens (human)	Medullo	FOLH1
path:hsa05110	0.41058941058941056	Vibrio cholerae infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05120	0.19880119880119881	Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05130	0.4175824175824176	Pathogenic Escherichia coli infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05131	0.14585414585414586	Shigellosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05132	0.22877122877122877	Salmonella infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05133	0.24975024975024976	Pertussis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05134	0.42157842157842157	Legionellosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05135	0.17882117882117882	Yersinia infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05140	0.15484515484515485	Leishmaniasis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05142	0.23976023976023977	Chagas disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05143	0.34465534465534464	African trypanosomiasis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05144	0.03596403596403597	Malaria - Homo sapiens (human)	Medullo	FOLH1
path:hsa05145	0.07092907092907093	Toxoplasmosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05146	0.2777222777222777	Amoebiasis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05150	0.12887112887112886	Staphylococcus aureus infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05152	0.22077922077922077	Tuberculosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05160	0.4085914085914086	Hepatitis C - Homo sapiens (human)	Medullo	FOLH1
path:hsa05161	0.3206793206793207	Hepatitis B - Homo sapiens (human)	Medullo	FOLH1
path:hsa05162	0.37962037962037964	Measles - Homo sapiens (human)	Medullo	FOLH1
path:hsa05163	0.10589410589410589	Human cytomegalovirus infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05164	0.0999000999000999	Influenza A - Homo sapiens (human)	Medullo	FOLH1
path:hsa05165	0.14885114885114886	Human papillomavirus infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05166	0.1048951048951049	Human T-cell leukemia virus 1 infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05167	0.2967032967032967	Kaposi sarcoma-associated herpesvirus infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05168	0.16983016983016982	Herpes simplex virus 1 infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05169	0.1958041958041958	Epstein-Barr virus infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05170	0.061938061938061936	Human immunodeficiency virus 1 infection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05171	0.9460539460539461	Coronavirus disease - COVID-19 - Homo sapiens (human)	Medullo	FOLH1
path:hsa05202	0.6263736263736264	Transcriptional misregulation in cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05203	0.14385614385614387	Viral carcinogenesis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05204	0.06493506493506493	Chemical carcinogenesis - DNA adducts - Homo sapiens (human)	Medullo	FOLH1
path:hsa05205	0.08191808191808192	Proteoglycans in cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05206	0.4645354645354645	MicroRNAs in cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05207	0.03696303696303696	Chemical carcinogenesis - receptor activation - Homo sapiens (human)	Medullo	FOLH1
path:hsa05208	0.5684315684315684	Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)	Medullo	FOLH1
path:hsa05210	0.22477522477522477	Colorectal cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05211	0.1848151848151848	Renal cell carcinoma - Homo sapiens (human)	Medullo	FOLH1
path:hsa05212	0.2787212787212787	Pancreatic cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05213	0.15084915084915085	Endometrial cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05214	0.17182817182817184	Glioma - Homo sapiens (human)	Medullo	FOLH1
path:hsa05215	0.25274725274725274	Prostate cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05216	0.47352647352647353	Thyroid cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05217	0.3966033966033966	Basal cell carcinoma - Homo sapiens (human)	Medullo	FOLH1
path:hsa05218	0.5344655344655345	Melanoma - Homo sapiens (human)	Medullo	FOLH1
path:hsa05219	0.48951048951048953	Bladder cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05220	0.3106893106893107	Chronic myeloid leukemia - Homo sapiens (human)	Medullo	FOLH1
path:hsa05221	0.17182817182817184	Acute myeloid leukemia - Homo sapiens (human)	Medullo	FOLH1
path:hsa05222	0.28471528471528473	Small cell lung cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05223	0.41358641358641357	Non-small cell lung cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05224	0.0939060939060939	Breast cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05225	0.2017982017982018	Hepatocellular carcinoma - Homo sapiens (human)	Medullo	FOLH1
path:hsa05226	0.14185814185814186	Gastric cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05230	0.061938061938061936	Central carbon metabolism in cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05231	0.01998001998001998	Choline metabolism in cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05235	0.0969030969030969	PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)	Medullo	FOLH1
path:hsa05310	0.24775224775224775	Asthma - Homo sapiens (human)	Medullo	FOLH1
path:hsa05320	0.17382617382617382	Autoimmune thyroid disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05321	0.8561438561438561	Inflammatory bowel disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05322	0.5214785214785215	Systemic lupus erythematosus - Homo sapiens (human)	Medullo	FOLH1
path:hsa05323	0.17282717282717283	Rheumatoid arthritis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05330	0.24575424575424576	Allograft rejection - Homo sapiens (human)	Medullo	FOLH1
path:hsa05332	0.7012987012987013	Graft-versus-host disease - Homo sapiens (human)	Medullo	FOLH1
path:hsa05340	0.1048951048951049	Primary immunodeficiency - Homo sapiens (human)	Medullo	FOLH1
path:hsa05410	0.8011988011988012	Hypertrophic cardiomyopathy - Homo sapiens (human)	Medullo	FOLH1
path:hsa05412	0.8661338661338661	Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)	Medullo	FOLH1
path:hsa05414	0.8041958041958042	Dilated cardiomyopathy - Homo sapiens (human)	Medullo	FOLH1
path:hsa05415	0.46253746253746253	Diabetic cardiomyopathy - Homo sapiens (human)	Medullo	FOLH1
path:hsa05416	0.2997002997002997	Viral myocarditis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05417	0.12287712287712288	Lipid and atherosclerosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa05418	0.06493506493506493	Fluid shear stress and atherosclerosis - Homo sapiens (human)	Medullo	FOLH1
path:hsa00010	0.28771228771228774	Glycolysis / Gluconeogenesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00020	0.04695304695304695	Citrate cycle (TCA cycle) - Homo sapiens (human)	EPN	FOLH1
path:hsa00030	0.030969030969030968	Pentose phosphate pathway - Homo sapiens (human)	EPN	FOLH1
path:hsa00040	0.3196803196803197	Pentose and glucuronate interconversions - Homo sapiens (human)	EPN	FOLH1
path:hsa00051	0.0959040959040959	Fructose and mannose metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00052	0.15284715284715283	Galactose metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00053	0.4875124875124875	Ascorbate and aldarate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00061	0.3786213786213786	Fatty acid biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00062	0.23676323676323677	Fatty acid elongation - Homo sapiens (human)	EPN	FOLH1
path:hsa00071	0.5524475524475524	Fatty acid degradation - Homo sapiens (human)	EPN	FOLH1
path:hsa00100	0.7762237762237763	Steroid biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00120	0.6723276723276723	Primary bile acid biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00130	0.8911088911088911	Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00140	0.08691308691308691	Steroid hormone biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00190	0.09090909090909091	Oxidative phosphorylation - Homo sapiens (human)	EPN	FOLH1
path:hsa00220	0.08191808191808192	Arginine biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00230	0.03796203796203796	Purine metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00240	0.060939060939060936	Pyrimidine metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00250	0.6083916083916084	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00260	0.4775224775224775	Glycine, serine and threonine metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00270	0.05194805194805195	Cysteine and methionine metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00280	0.1838161838161838	Valine, leucine and isoleucine degradation - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00310	0.4155844155844156	Lysine degradation - Homo sapiens (human)	EPN	FOLH1
path:hsa00330	0.6453546453546454	Arginine and proline metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00340	0.5904095904095904	Histidine metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00350	0.1958041958041958	Tyrosine metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00360	0.4515484515484515	Phenylalanine metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00380	0.24875124875124874	Tryptophan metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00410	0.3306693306693307	beta-Alanine metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00450	0.17382617382617382	Selenocompound metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00480	0.24075924075924077	Glutathione metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00500	0.36563436563436563	Starch and sucrose metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00510	0.2827172827172827	N-Glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00511	0.7692307692307693	Other glycan degradation - Homo sapiens (human)	EPN	FOLH1
path:hsa00512	0.5224775224775224	Mucin type O-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00513	0.21178821178821178	Various types of N-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00514	0.16683316683316685	Other types of O-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00515	0.3086913086913087	Mannose type O-glycan biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00520	0.08291708291708291	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00531	0.22877122877122877	Glycosaminoglycan degradation - Homo sapiens (human)	EPN	FOLH1
path:hsa00532	0.09290709290709291	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)	EPN	FOLH1
path:hsa00533	0.5714285714285714	Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)	EPN	FOLH1
path:hsa00534	0.08191808191808192	Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human)	EPN	FOLH1
path:hsa00561	0.023976023976023976	Glycerolipid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00562	0.11988011988011989	Inositol phosphate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00563	0.3786213786213786	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00564	0.004995004995004995	Glycerophospholipid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00565	0.07692307692307693	Ether lipid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00590	0.33266733266733267	Arachidonic acid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00591	0.36363636363636365	Linoleic acid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00592	0.002997002997002997	alpha-Linolenic acid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00600	0.06393606393606394	Sphingolipid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00601	0.056943056943056944	Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)	EPN	FOLH1
path:hsa00603	0.6043956043956044	Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)	EPN	FOLH1
path:hsa00604	0.6413586413586414	Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	EPN	FOLH1
path:hsa00620	0.3916083916083916	Pyruvate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00630	0.8631368631368631	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00640	0.3116883116883117	Propanoate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00650	0.055944055944055944	Butanoate metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00670	0.5764235764235764	One carbon pool by folate - Homo sapiens (human)	EPN	FOLH1
path:hsa00730	0.16783216783216784	Thiamine metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00760	0.15184815184815184	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00770	0.7532467532467533	Pantothenate and CoA biosynthesis - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00790	0.3126873126873127	Folate biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00830	0.002997002997002997	Retinol metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00860	0.21578421578421578	Porphyrin and chlorophyll metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa00900	0.06393606393606394	Terpenoid backbone biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00910	0.46053946053946054	Nitrogen metabolism - Homo sapiens (human)	EPN	FOLH1
NA	NA	NA	EPN	FOLH1
path:hsa00970	0.7002997002997003	Aminoacyl-tRNA biosynthesis - Homo sapiens (human)	EPN	FOLH1
path:hsa00980	0.46353646353646355	Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)	EPN	FOLH1
path:hsa00982	0.7552447552447552	Drug metabolism - cytochrome P450 - Homo sapiens (human)	EPN	FOLH1
path:hsa00983	0.10789210789210789	Drug metabolism - other enzymes - Homo sapiens (human)	EPN	FOLH1
path:hsa01040	0.6443556443556444	Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	EPN	FOLH1
path:hsa01200	0.27472527472527475	Carbon metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa01210	0.4015984015984016	2-Oxocarboxylic acid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa01212	0.9310689310689311	Fatty acid metabolism - Homo sapiens (human)	EPN	FOLH1
path:hsa01230	0.20679320679320679	Biosynthesis of amino acids - Homo sapiens (human)	EPN	FOLH1
path:hsa01240	0.026973026973026972	Biosynthesis of cofactors - Homo sapiens (human)	EPN	FOLH1
path:hsa01250	0.025974025974025976	Biosynthesis of nucleotide sugars - Homo sapiens (human)	EPN	FOLH1
path:hsa01521	0.13186813186813187	EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)	EPN	FOLH1
path:hsa01522	0.12387612387612387	Endocrine resistance - Homo sapiens (human)	EPN	FOLH1
path:hsa01523	0.00999000999000999	Antifolate resistance - Homo sapiens (human)	EPN	FOLH1
path:hsa01524	0.3166833166833167	Platinum drug resistance - Homo sapiens (human)	EPN	FOLH1
path:hsa02010	0.2917082917082917	ABC transporters - Homo sapiens (human)	EPN	FOLH1
path:hsa03008	0.6283716283716284	Ribosome biogenesis in eukaryotes - Homo sapiens (human)	EPN	FOLH1
path:hsa03010	0.13886113886113885	Ribosome - Homo sapiens (human)	EPN	FOLH1
path:hsa03013	0.21678321678321677	Nucleocytoplasmic transport - Homo sapiens (human)	EPN	FOLH1
path:hsa03015	0.4935064935064935	mRNA surveillance pathway - Homo sapiens (human)	EPN	FOLH1
path:hsa03018	0.26173826173826176	RNA degradation - Homo sapiens (human)	EPN	FOLH1
path:hsa03020	0.24075924075924077	RNA polymerase - Homo sapiens (human)	EPN	FOLH1
path:hsa03022	0.7422577422577422	Basal transcription factors - Homo sapiens (human)	EPN	FOLH1
path:hsa03030	9.99000999000999e-4	DNA replication - Homo sapiens (human)	EPN	FOLH1
