GOID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	Ontology	gene_set_size	universe_size	LogOddsRatioSE	change_dir	cancer_group	gene_parsed_by	percentile
GO:0005783	0.00506295569721448	1.2277843773923602	203.49406667922395	236	1271	endoplasmic reticulum	CC	1700	10618	0.0775460319933426	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030175	0.00523647104986552	2.038161554063944	12.648333019401017	22	79	filopodium	CC	1700	10618	0.25240286595036565	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005768	0.00597612827213934	1.3202557396105783	96.06328875494444	119	600	endosome	CC	1700	10618	0.10598773530337346	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0009986	0.00775797669706851	1.33477965392859	81.49368996044453	102	509	cell surface	CC	1700	10618	0.1140359647649673	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030424	0.00784013217121001	1.3484278296988577	75.24957619137314	95	470	axon	CC	1700	10618	0.11803851199667598	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030659	0.0084507186922882	1.3223563773988525	85.3362215106423	106	533	cytoplasmic vesicle membrane	CC	1700	10618	0.11189730546056996	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0031984	0.00942702358031843	1.2186029218791008	180.75908834055377	209	1129	organelle subcompartment	CC	1700	10618	0.0816539502186194	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0016020	0.00999392450788407	1.133107244522846	891.6274251271426	936	5569	membrane	CC	1700	10618	0.05316475982297228	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030666	0.01137038376220401	1.671659676452966	20.65360708231305	31	129	endocytic vesicle membrane	CC	1700	10618	0.20778519198428275	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030139	0.01181164761991404	1.479431183341798	36.66415520813712	50	229	endocytic vesicle	CC	1700	10618	0.1621945817634858	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0044433	0.01362262669753376	1.2165186862308752	160.7459031832737	186	1004	cytoplasmic vesicle part	CC	1700	10618	0.08592320260081947	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0044425	0.01382216710572144	1.1287448249012455	635.1384441514409	676	3967	membrane part	CC	1700	10618	0.05419802616900269	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0031224	0.0140067212660169	1.1361415172330214	500.4897344132605	539	3126	intrinsic component of membrane	CC	1700	10618	0.05710617363791344	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0044444	0.01456812006470123	1.1272455326713244	1010.1054812582408	1051	6309	cytoplasmic part	CC	1700	10618	0.05436650863901091	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0042995	0.01514232135604584	1.175076004797367	245.44170276888303	275	1533	cell projection	CC	1700	10618	0.0725505264268913	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005852	0.01570853215600607	3.944805194805195	2.24147673761537	6	14	eukaryotic translation initiation factor 3 complex	CC	1700	10618	0.540711770617554	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0033290	0.01570853215600607	3.944805194805195	2.24147673761537	6	14	eukaryotic 48S preinitiation complex	CC	1700	10618	0.540711770617554	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0044853	0.01683672786789052	1.816039992579502	13.12864946317574	21	82	plasma membrane raft	CC	1700	10618	0.25440319947576445	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0045334	0.01734782519653173	2.2091324550165403	7.0446411753625915	13	44	clathrin-coated endocytic vesicle	CC	1700	10618	0.3314912270002935	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005769	0.01754589533017513	1.4384057971014492	37.46468261442833	50	234	early endosome	CC	1700	10618	0.16172612124041053	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0044456	0.01763009277717256	1.2403024617118623	117.03710679977397	138	731	synapse part	CC	1700	10618	0.09845325001278904	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005901	0.01803027988024202	1.948177426438296	10.086645319269165	17	63	caveola	CC	1700	10618	0.28507814905427376	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0031985	0.01851797035052512	1.898026159334126	10.887172725560369	18	68	Golgi cisterna	CC	1700	10618	0.2761572937192618	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0097458	0.01859049453352317	1.182628905688955	203.6541721604822	230	1272	neuron part	CC	1700	10618	0.0781969251194418	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0012506	0.01941328057589558	1.2721945444400702	87.89790921077416	106	549	vesicle membrane	CC	1700	10618	0.1115197080327356	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030027	0.0199712328820703	1.548557353976073	24.01582218873611	34	150	lamellipodium	CC	1700	10618	0.19684081131755063	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0001518	0.02074171665826762	4.381514257620452	1.761160293840648	5	11	voltage-gated sodium channel complex	CC	1700	10618	0.6061095985270893	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030665	0.02169348180755208	1.8213941917689689	11.847805613109813	19	74	clathrin-coated vesicle membrane	CC	1700	10618	0.2674343092053512	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0033267	0.0226952107485756	1.3632399090728884	47.711433414955735	61	298	axon part	CC	1700	10618	0.1460759190784705	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0043194	0.02279068906328129	3.0686158692656034	3.0420041439065737	7	19	axon initial segment	CC	1700	10618	0.47633331554519814	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0016021	0.02291261313649459	1.1244220345733011	485.2797136937276	520	3031	integral component of membrane	CC	1700	10618	0.0576616124345277	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005637	0.0234715756757096	2.179032521653865	6.5643247315878694	12	41	nuclear inner membrane	CC	1700	10618	0.34426880138839466	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005608	0.02562109943088926	Inf	0.32021096251648146	2	2	laminin-3 complex	CC	1700	10618	Inf	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0008043	0.02562109943088926	Inf	0.32021096251648146	2	2	intracellular ferritin complex	CC	1700	10618	Inf	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0042643	0.02562109943088926	Inf	0.32021096251648146	2	2	actomyosin, actin portion	CC	1700	10618	Inf	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0070288	0.02562109943088926	Inf	0.32021096251648146	2	2	ferritin complex	CC	1700	10618	Inf	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:1990682	0.02562109943088926	Inf	0.32021096251648146	2	2	CSF1-CSF1R complex	CC	1700	10618	Inf	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:1990904	0.02619545677973775	1.267875088398407	79.73252966660388	96	498	ribonucleoprotein complex	CC	1700	10618	0.1168122265597078	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0120025	0.02646530003642374	1.1584273170015194	235.99547937464683	262	1474	plasma membrane bounded cell projection	CC	1700	10618	0.07393954087369663	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0097197	0.02667991860421182	5.255896226415095	1.2808438500659258	4	8	tetraspanin-enriched microdomain	CC	1700	10618	0.7076028587592764	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0098552	0.02787545722220921	1.3343857690160368	50.91354304012055	64	318	side of membrane	CC	1700	10618	0.14243831979861168	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0042581	0.03026085395005305	1.6229116945107398	16.330759088340553	24	102	specific granule	CC	1700	10618	0.2349403336388675	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030426	0.03043388687820897	1.5083932853717026	23.055189301186665	32	144	growth cone	CC	1700	10618	0.20221684091428396	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030658	0.0312955512534481	1.5151565585957438	22.25466189489546	31	139	transport vesicle membrane	CC	1700	10618	0.2054993730591988	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0016282	0.03151397366666882	3.1551357733175913	2.5616877001318517	6	16	eukaryotic 43S preinitiation complex	CC	1700	10618	0.5170775996721567	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0070993	0.03151397366666882	3.1551357733175913	2.5616877001318517	6	16	translation preinitiation complex	CC	1700	10618	0.5170775996721567	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0098985	0.03178120065809517	7.880966411314084	0.8005274062912037	3	5	asymmetric, glutamatergic, excitatory synapse	CC	1700	10618	0.9132550391009056	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005764	0.0318652940963314	1.265603599915461	73.96873234130722	89	462	lysosome	CC	1700	10618	0.12105651642684744	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0009898	0.03298575304473469	1.5887430318288078	17.291391975889997	25	108	cytoplasmic side of plasma membrane	CC	1700	10618	0.2296919543382879	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030133	0.03304289910884538	1.3537859985142784	42.42795253343379	54	265	transport vesicle	CC	1700	10618	0.1548555408964753	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0000323	0.03344476980495466	1.2620719186608111	74.12883782256546	89	463	lytic vacuole	CC	1700	10618	0.12102696191524176	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0150034	0.03351600116112431	1.3894558645707376	35.3833113580712	46	221	distal axon	CC	1700	10618	0.16784632342273553	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0098562	0.03391813911061128	1.5389254385964912	19.85307967602185	28	124	cytoplasmic side of membrane	CC	1700	10618	0.21643103170880487	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005788	0.03469496053815024	1.3802715601263695	36.34394424562064	47	227	endoplasmic reticulum lumen	CC	1700	10618	0.1659866098274725	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0000791	0.03604705954741843	2.4755944931163953	4.002637031456018	8	25	euchromatin	CC	1700	10618	0.4295659354366214	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005719	0.03939974949189378	2.6296515062020083	3.362215106423055	7	21	nuclear euchromatin	CC	1700	10618	0.4636687296060742	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030427	0.03950683704841477	1.4685434261286625	23.535505744961387	32	147	site of polarized growth	CC	1700	10618	0.20164019984808396	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0071944	0.04006635973112939	1.105878902431076	529.7890374835185	561	3309	cell periphery	CC	1700	10618	0.05644882543563202	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0032580	0.04081006164223563	1.901238226964368	7.8451685816537955	13	49	Golgi cisterna membrane	CC	1700	10618	0.3246632257949773	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030136	0.04203475840027525	1.5149750098561636	19.372763232247127	27	121	clathrin-coated vesicle	CC	1700	10618	0.21996906789317025	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0061702	0.04203982231660305	4.204245283018868	1.4409493313241666	4	9	inflammasome complex	CC	1700	10618	0.6713432939344495	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0098793	0.04239488631336614	1.2784939635768364	58.43850065925786	71	365	presynapse	CC	1700	10618	0.13496553857048055	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0005886	0.04442662283710276	1.103632520148285	515.8598606140516	546	3222	plasma membrane	CC	1700	10618	0.05685024272794464	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0030672	0.04657224999667236	1.6636210025658678	12.007911094368056	18	75	synaptic vesicle membrane	CC	1700	10618	0.2716740687025534	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0099501	0.04657224999667236	1.6636210025658678	12.007911094368056	18	75	exocytic vesicle membrane	CC	1700	10618	0.2716740687025534	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0099056	0.0477358452258331	1.797847409079073	8.80580146920324	14	55	integral component of presynaptic membrane	CC	1700	10618	0.3106840610837376	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0035579	0.04777948627210456	1.7552917903066272	9.606328875494444	15	60	specific granule membrane	CC	1700	10618	0.29932434273347475	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0043005	0.04843703444710403	1.1652038397218438	152.42041815784518	171	952	neuron projection	CC	1700	10618	0.08891164490799423	gain_of_correlation_genes	Medullo	SLC1A5	15
GO:0007601	1.7472432253022548e-10	8.174250832408434	2.7126527394560505	18	124	visual perception	BP	222	10148	0.264562490912658	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0050953	2.0020918728889255e-10	8.097031335898846	2.734528971225857	18	125	sensory perception of light stimulus	BP	222	10148	0.26439582844155735	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007600	3.3776780745584346e-7	3.840374285219199	6.847260543949547	23	313	sensory perception	BP	222	10148	0.2281566125730584	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0009583	1.5858744667280386e-6	11.932469098583056	0.8531730390224674	8	39	detection of light stimulus	BP	222	10148	0.4025320146949577	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0050877	7.117402100336654e-6	2.613188545406778	13.847654710287742	32	633	nervous system process	BP	222	10148	0.19566371664529497	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0097499	7.410291816266288e-6	60.691131498470945	0.153133622388648	4	7	protein localization to non-motile cilium	BP	222	10148	0.766825446416356	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0009584	4.771515181094643e-5	11.001111111111111	0.6781631848640126	6	31	detection of visible light	BP	222	10148	0.4597796169854601	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0050908	6.519952706031038e-5	26	0.24063854946787544	4	11	detection of light stimulus involved in visual perception	BP	222	10148	0.630511788498061	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0050962	6.519952706031038e-5	26	0.24063854946787544	4	11	detection of light stimulus involved in sensory perception	BP	222	10148	0.630511788498061	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:1903546	9.999642752236705e-5	67.97260273972603	0.1093811588490343	3	5	protein localization to photoreceptor outer segment	BP	222	10148	0.9154235681908288	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0003008	2.1539960949734467e-4	1.9536984576644632	24.085731178557353	42	1101	system process	BP	222	10148	0.17441944886815258	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0045494	2.164534320398523e-4	10.8678955453149	0.5687820260149783	5	26	photoreceptor cell maintenance	BP	222	10148	0.5023229057702655	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0009581	2.2119830474129105e-4	5.500906681545543	1.6407173827355144	8	75	detection of external stimulus	BP	222	10148	0.3803941383564174	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0009582	2.4263980606969995e-4	5.419461242440901	1.6625936145053213	8	76	detection of abiotic stimulus	BP	222	10148	0.3801055379807772	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0046530	2.427918388022013e-4	7.85	0.8969255025620811	6	41	photoreceptor cell differentiation	BP	222	10148	0.4471787415336902	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0030182	2.885187243973901e-4	1.9676863275308432	22.07311785573512	39	1009	neuron differentiation	BP	222	10148	0.17957753573351454	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0042461	3.1207946351014237e-4	9.92085754357844	0.612534489554592	5	28	photoreceptor cell development	BP	222	10148	0.4981842383110911	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048666	3.528481997028969e-4	2.0353559232991856	18.46353961371699	34	844	neuron development	BP	222	10148	0.18993466976546644	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021954	3.859844010253966e-4	5.843298097251585	1.3563263697280252	7	62	central nervous system neuron development	BP	222	10148	0.4071749386788595	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0009416	4.231362748247263e-4	3.2571898955600145	4.353370122191565	13	199	response to light stimulus	BP	222	10148	0.2952740750706556	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021953	4.896121242098312e-4	3.9206907579149344	2.800157666535278	10	128	central nervous system neuron differentiation	BP	222	10148	0.33659102036285266	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0042462	9.955424681049806e-4	10.695089044792228	0.459400867165944	4	21	eye photoreceptor cell development	BP	222	10148	0.5599210691982546	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048699	0.0012003512066294	1.796429079238691	24.545132045723296	40	1122	generation of neurons	BP	222	10148	0.1775719316807806	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:1905664	0.00140871964828801	90.22727272727272	0.06562869530942057	2	3	regulation of calcium ion import across plasma membrane	BP	222	10148	1.2266402122109648	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0001895	0.00150392669701889	6.7037137435619405	0.8531730390224674	5	39	retina homeostasis	BP	222	10148	0.4838606735705068	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0098739	0.00154394402219696	4.519161480510973	1.7063460780449349	7	78	import across plasma membrane	BP	222	10148	0.4021122778832326	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0034220	0.0016850539042193	1.9116666666666664	17.06346078044935	30	780	ion transmembrane transport	BP	222	10148	0.1999599458583884	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0061512	0.00168862028071715	6.511520737327189	0.8750492707922743	5	40	protein localization to cilium	BP	222	10148	0.48299153772528375	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:1902667	0.00188942978653867	6.330005120327701	0.8969255025620811	5	41	regulation of axon guidance	BP	222	10148	0.48216924927169896	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0022008	0.0019870686947274	1.7303396179238253	26.03271580607016	41	1190	neurogenesis	BP	222	10148	0.17578214342219953	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0120039	0.00250059208781935	2.065019920318725	11.463145447378794	22	524	plasma membrane bounded cell projection morphogenesis	BP	222	10148	0.22924373357059247	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007602	0.00263441485569493	7.900279218189071	0.5906582577847852	4	27	phototransduction	BP	222	10148	0.5460461485387743	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048858	0.00274472630267386	2.0478260869565217	11.55065037445802	22	528	cell projection morphogenesis	BP	222	10148	0.22920948311981384	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048532	0.00314546111309208	12.34744707347447	0.306267244777296	3	14	anatomical structure arrangement	BP	222	10148	0.6549118196940908	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032990	0.00352241959611427	2.0019148936170215	11.791288923925896	22	539	cell part morphogenesis	BP	222	10148	0.2291180103166118	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007399	0.00357638790830509	1.5754204178698827	37.977138352384706	54	1736	nervous system development	BP	222	10148	0.15870327700330197	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007409	0.003770707693032	2.203550135501355	8.247339377217186	17	377	axonogenesis	BP	222	10148	0.25803854919673636	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007626	0.00394361108740444	3.11119347664937	3.106424911312574	9	142	locomotory behavior	BP	222	10148	0.35132158706670197	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0070509	0.0041747308513962	5.1749057394218685	1.071935356720536	5	49	calcium ion import	BP	222	10148	0.4769033044008119	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0051899	0.00418692729113978	4.280381944444445	1.53133622388648	6	70	membrane depolarization	BP	222	10148	0.43246120705420615	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0031175	0.00427149329695361	1.8181612766558397	16.582183681513598	28	758	neuron projection development	BP	222	10148	0.20578515698405345	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0051606	0.0043243470129762	3.0644757433489827	3.1501773748521877	9	144	detection of stimulus	BP	222	10148	0.35116305160521966	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007411	0.00433484827057141	2.568783068783069	4.987780843515964	12	228	axon guidance	BP	222	10148	0.3046766389741888	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048812	0.00438414297485231	1.994803311378331	11.266259361450532	21	515	neuron projection morphogenesis	BP	222	10148	0.23393265173489508	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0001754	0.00441181574066047	6.72714916751614	0.6781631848640126	4	31	eye photoreceptor cell differentiation	BP	222	10148	0.5401159258024346	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0086010	0.00441181574066047	6.72714916751614	0.6781631848640126	4	31	membrane depolarization during action potential	BP	222	10148	0.5401159258024346	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0097485	0.00448838722400938	2.5566820276497695	5.00965707528577	12	229	neuron projection guidance	BP	222	10148	0.304641642336022	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021636	0.0045613076541225	30.06969696969697	0.1093811588490343	2	5	trigeminal nerve morphogenesis	BP	222	10148	0.9154122371116716	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021637	0.0045613076541225	30.06969696969697	0.1093811588490343	2	5	trigeminal nerve structural organization	BP	222	10148	0.9154122371116716	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048318	0.0045613076541225	30.06969696969697	0.1093811588490343	2	5	axial mesoderm development	BP	222	10148	0.9154122371116716	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0086045	0.0045613076541225	30.06969696969697	0.1093811588490343	2	5	membrane depolarization during AV node cell action potential	BP	222	10148	0.9154122371116716	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0097475	0.0045613076541225	30.06969696969697	0.1093811588490343	2	5	motor neuron migration	BP	222	10148	0.9154122371116716	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0030903	0.00468559192141772	10.445732349841938	0.35001970831690976	3	16	notochord development	BP	222	10148	0.6441455564835487	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032402	0.00468559192141772	10.445732349841938	0.35001970831690976	3	16	melanosome transport	BP	222	10148	0.6441455564835487	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0001894	0.00473320816748403	3.019122031458826	3.1939298383918016	9	146	tissue homeostasis	BP	222	10148	0.35100907729786207	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0030534	0.00529945253567253	3.5582428940568476	2.1219944816712655	7	97	adult behavior	BP	222	10148	0.3983981477158253	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007608	0.00559878212588906	9.6986301369863	0.3718959400867166	3	17	sensory perception of smell	BP	222	10148	0.6398663943514451	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032011	0.00559878212588906	9.6986301369863	0.3718959400867166	3	17	ARF protein signal transduction	BP	222	10148	0.6398663943514451	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032012	0.00559878212588906	9.6986301369863	0.3718959400867166	3	17	regulation of ARF protein signal transduction	BP	222	10148	0.6398663943514451	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032401	0.00559878212588906	9.6986301369863	0.3718959400867166	3	17	establishment of melanosome localization	BP	222	10148	0.6398663943514451	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0051904	0.00559878212588906	9.6986301369863	0.3718959400867166	3	17	pigment granule transport	BP	222	10148	0.6398663943514451	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007417	0.00655593215647506	1.7923678243227117	15.53212455656287	26	710	central nervous system development	BP	222	10148	0.21244709757938535	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032878	0.00661135872059334	9.051141552511416	0.39377217185652347	3	18	regulation of establishment or maintenance of cell polarity	BP	222	10148	0.636134504674752	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0051905	0.00661135872059334	9.051141552511416	0.39377217185652347	3	18	establishment of pigment granule localization	BP	222	10148	0.636134504674752	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021785	0.00674358071443766	22.55	0.13125739061884115	2	6	branchiomotor neuron axon guidance	BP	222	10148	0.8687037703827944	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021860	0.00674358071443766	22.55	0.13125739061884115	2	6	pyramidal neuron development	BP	222	10148	0.8687037703827944	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021877	0.00674358071443766	22.55	0.13125739061884115	2	6	forebrain neuron fate commitment	BP	222	10148	0.8687037703827944	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021902	0.00674358071443766	22.55	0.13125739061884115	2	6	commitment of neuronal cell to specific neuron type in forebrain	BP	222	10148	0.8687037703827944	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0048592	0.00732567577787936	3.3338178294573644	2.2532518722901065	7	103	eye morphogenesis	BP	222	10148	0.3975257245944012	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0098659	0.0073946248706597	4.461462004156501	1.225068979109184	5	56	inorganic cation import across plasma membrane	BP	222	10148	0.4736215830079065	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0099587	0.0073946248706597	4.461462004156501	1.225068979109184	5	56	inorganic ion import across plasma membrane	BP	222	10148	0.4736215830079065	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032400	0.00772588018741254	8.48458904109589	0.4156484036263303	3	19	melanosome localization	BP	222	10148	0.6328510500525044	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0050906	0.0079647443160529	4.375221552640907	1.246945210878991	5	57	detection of stimulus involved in sensory perception	BP	222	10148	0.4732233513260256	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0032272	0.0085647063334256	4.29223545778628	1.2688214426487978	5	58	negative regulation of protein polymerization	BP	222	10148	0.4728398310164349	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0051875	0.00894458969934037	7.984689766317486	0.4375246353961372	3	20	pigment granule localization	BP	222	10148	0.6299396726257279	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0086012	0.00894458969934037	7.984689766317486	0.4375246353961372	3	20	membrane depolarization during cardiac muscle cell action potential	BP	222	10148	0.6299396726257279	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0042551	0.00919004294216142	5.338370210469509	0.8312968072526606	4	38	neuron maturation	BP	222	10148	0.5330103305382848	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0086001	0.00919525115201425	4.212322922000341	1.2906976744186047	5	59	cardiac muscle cell action potential	BP	222	10148	0.472470221332338	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021559	0.00930550301431305	18.03818181818182	0.153133622388648	2	7	trigeminal nerve development	BP	222	10148	0.8394321001940247	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021612	0.00930550301431305	18.03818181818182	0.153133622388648	2	7	facial nerve structural organization	BP	222	10148	0.8394321001940247	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0021859	0.00930550301431305	18.03818181818182	0.153133622388648	2	7	pyramidal neuron differentiation	BP	222	10148	0.8394321001940247	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0035845	0.00930550301431305	18.03818181818182	0.153133622388648	2	7	photoreceptor cell outer segment organization	BP	222	10148	0.8394321001940247	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0046548	0.00930550301431305	18.03818181818182	0.153133622388648	2	7	retinal rod cell development	BP	222	10148	0.8394321001940247	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0007268	0.00944475066701765	1.8783991075163855	11.310011824990148	20	517	chemical synaptic transmission	BP	222	10148	0.23889040011992044	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0098916	0.00944475066701765	1.8783991075163855	11.310011824990148	20	517	anterograde trans-synaptic signaling	BP	222	10148	0.23889040011992044	loss_of_correlation_genes	Medullo	SLC1A5	15
GO:0072659	0.00954516697768031	2.525399129172714	4.200236499802917	10	192	protein localization to plasma membrane	BP	222	10148	0.33213568595437115	loss_of_correlation_genes	Medullo	SLC1A5	15
