"genes"	"modules"
"SIDT1"	"M1"
"GABRA4"	"M3"
"CLIC6"	"M4"
"USH1C"	"M1"
"SIX1"	"M5"
"PAPPA"	"M4"
"HAPLN1"	"M2"
"C5orf38"	"M2"
"CDH7"	"M3"
"HIST1H4L"	"M5"
"PCOLCE2"	"M2"
"C8orf34"	"M1"
"STRA6"	"M4"
"HIST1H3A"	"M5"
"SLC7A3"	"M2"
"HBG2"	"M4"
"FNDC1"	"M4"
"AMER3"	"M3"
"ACADL"	"M1"
"ADRA2A"	"M1"
"MARCH4"	"M3"
"MCF2"	"M2"
"EN1"	"M5"
"HRNR"	"M6"
"IL1RAPL1"	"M5"
"SBSPON"	"M1"
"MAGEC1"	"M2"
"SERTAD4"	"M3"
"LRRC3"	"M3"
"OTX2"	"M5"
"NMNAT3"	"M6"
"CALY"	"M3"
"KIF6"	"M1"
"SGO1"	"M5"
"SOWAHA"	"M3"
"DHRS9"	"M1"
"ZMAT4"	"Not.Correlated"
"KCNK12"	"M3"
"RGPD1"	"Not.Correlated"
"DNAH17"	"M1"
"SLC1A6"	"M3"
"SLC13A4"	"M6"
"KCNJ4"	"M3"
"CHRM1"	"M3"
"CKMT1A"	"M3"
"PCDHA1"	"M1"
"KCNC2"	"M3"
"GABRA1"	"M3"
"NAT16"	"M2"
"ZNF208"	"M5"
"BCL2L2-PABPN1"	"M5"
"ICAM5"	"M5"
"RGS7"	"M2"
"POU4F1"	"M3"
"C21orf62"	"M4"
"SERPINA5"	"M4"
"RRAD"	"M6"
"HIST1H4F"	"M5"
"PNOC"	"M3"
"ESM1"	"M4"
"LDB3"	"M1"
"GRM1"	"M3"
"FSTL4"	"M3"
"F2RL2"	"M4"
"S100A8"	"M4"
"HS3ST4"	"M1"
"PLA2G5"	"M4"
"OGN"	"M4"
"SYTL5"	"M4"
"RNF128"	"M2"
"KCNH5"	"M3"
"LRFN2"	"M3"
"FPR3"	"M4"
"KY"	"M2"
"PDIA2"	"M3"
"CD36"	"M4"
"RTP5"	"M3"
"ADORA2A"	"M6"
"KCNJ12"	"M3"
"CACNA1I"	"M3"
"BEX5"	"M2"
"FOXB1"	"M1"
"CLVS1"	"M3"
"GAL"	"M2"
"LEFTY2"	"M1"
"DUSP2"	"M6"
"FREM3"	"M3"
"CLDN10"	"M1"
"TFAP2A"	"M5"
"TMEM125"	"M1"
"CYP4F11"	"M1"
"TMIE"	"M1"
"VWA5B2"	"M3"
"PODNL1"	"M4"
"GSX1"	"M2"
"TUNAR"	"M3"
"CLEC5A"	"M4"
"FSIP2"	"Not.Correlated"
"LRRIQ1"	"M1"
"DDIT4L"	"M1"
"HLA-DQA2"	"M1"
"SCRT2"	"M3"
"PRKCG"	"M3"
"EMX2"	"M5"
"SPTSSB"	"M6"
"GRM7"	"M3"
"NPR3"	"M5"
"SMIM10L2B"	"M1"
"SIM2"	"M6"
"FAM131C"	"M1"
"HOXA4"	"Not.Correlated"
"CNNM1"	"M3"
"HOXA7"	"M5"
"HPR"	"M1"
"C11orf87"	"M3"
"LRRN4CL"	"M4"
"PRRG3"	"M3"
"MLIP"	"M3"
"COL26A1"	"M3"
"JPH1"	"Not.Correlated"
"MRGPRF"	"M1"
"TMEM200A"	"M2"
"PRKG2"	"M2"
"ZNF727"	"M5"
"WSCD2"	"M3"
"SLAMF8"	"M4"
"STBD1"	"M4"
"VEPH1"	"Not.Correlated"
"CYP27C1"	"M2"
"CBLN4"	"M3"
"HOXA2"	"M1"
"PRF1"	"M4"
"CHRNA9"	"M4"
"DNAAF1"	"M1"
"OASL"	"M4"
"BDKRB2"	"M4"
"GABRG3"	"M3"
"HOXA10"	"M5"
"RASSF10"	"M3"
"SEC14L6"	"M1"
"FRMPD2"	"M3"
"POU3F1"	"M2"
"C4orf50"	"M3"
"DAZ1"	"M2"
"NEUROD1"	"M3"
"PRRT4"	"M2"
"CES1"	"M4"
"NEUROD2"	"M3"
"RPL39L"	"M1"
"SPAG6"	"M1"
"COL21A1"	"M1"
"MTRNR2L12"	"M6"
"OSM"	"M4"
"FZD9"	"M2"
"ACY3"	"M1"
"RBM24"	"M1"
"BMP5"	"Not.Correlated"
"PPP1R17"	"M2"
"CACNA2D3"	"M3"
"HOXD8"	"M5"
"TNMD"	"M1"
"SYNPR"	"M3"
"CBLN2"	"M3"
"NKD2"	"M2"
"ARMC3"	"M1"
"SH2D4A"	"M4"
"ZIM2"	"M5"
"GLIS1"	"M2"
"KLRK1"	"M2"
"KRT5"	"M1"
"DPEP1"	"M4"
"PTCHD4"	"M5"
"ADAMTS18"	"Not.Correlated"
"PCP4L1"	"M3"
"SLC30A3"	"M3"
"CAPN6"	"M5"
"ACTL6B"	"M3"
"PPP4R4"	"M1"
"ANO3"	"M2"
"RIMBP3"	"M5"
"NDST3"	"M3"
"FOSL1"	"M4"
"MTTP"	"M1"
"EFCAB1"	"M1"
"XKR7"	"M3"
"NUTM2A"	"M2"
"SLC32A1"	"M3"
"G0S2"	"M4"
"COL13A1"	"M4"
"CRYM"	"M3"
"LRRC2"	"M1"
"HAMP"	"M4"
"HTR2A"	"M3"
"EPHA10"	"M3"
"SPATA18"	"M4"
"CYGB"	"M3"
"STAC"	"M1"
"DLGAP2"	"M3"
"KCNB2"	"M3"
"CHRNA1"	"Not.Correlated"
"DHRS2"	"M1"
"HOXC4"	"Not.Correlated"
"HP"	"Not.Correlated"
"ABCA13"	"M4"
"ABCA4"	"M4"
"FAM163B"	"M3"
"EPHA6"	"M3"
"CPXM2"	"M1"
"ENTPD3"	"M1"
"RLBP1"	"M2"
"NELL1"	"Not.Correlated"
"DUSP9"	"M2"
"CHODL"	"M1"
"PHLDA2"	"M4"
"CYP4F3"	"M1"
"LPAR4"	"M2"
"TREM1"	"M4"
"SMIM5"	"M1"
"ECSCR"	"M4"
"DMRT2"	"Not.Correlated"
"CDH18"	"M3"
"PCDHA13"	"M5"
"POU5F2"	"M5"
"CD69"	"M4"
"SCUBE1"	"M3"
"S1PR5"	"M1"
"MTUS2"	"M3"
"FRMPD4"	"M3"
"HCAR1"	"M2"
"SPAG17"	"Not.Correlated"
"KBTBD11-OT1"	"M5"
"FAM196B"	"M2"
"TBX1"	"M5"
"GSTM5"	"Not.Correlated"
"SUSD3"	"M1"
"MGARP"	"M2"
"DLEU7"	"M1"
"SNX20"	"M1"
"PTPRH"	"M4"
"GJB2"	"Not.Correlated"
"F12"	"M2"
"NPY1R"	"M2"
"KCNA4"	"M3"
"AKR1C2"	"M2"
"TINCR"	"M6"
"FAM46B"	"M4"
"GLB1L3"	"M2"
"GCK"	"M6"
"TLL1"	"M2"
"SLC35F3"	"M3"
"HTR2C"	"M3"
"ODF3B"	"M4"
"CCDC129"	"M2"
"CYP39A1"	"M1"
"SHISA2"	"M1"
"CXCR5"	"M6"
"ACTG2"	"M4"
"CD22"	"M1"
"CYP4F12"	"M1"
"KRT18"	"M4"
"NWD2"	"M3"
"POTEF"	"M5"
"HSPB2"	"M1"
"SLC34A2"	"M4"
"CACNG3"	"M3"
"TMEM235"	"M1"
"TFAP2B"	"M5"
"CYS1"	"M3"
"MALL"	"M4"
"NR0B1"	"M2"
"TCTEX1D1"	"M1"
"PTH2R"	"M2"
"TRIM58"	"M3"
"MPPED1"	"M3"
"HMGCLL1"	"M3"
"PRR29"	"M1"
"CXCL10"	"M4"
"GDNF"	"M2"
"SLC17A6"	"M3"
"CDH12"	"M3"
"CERKL"	"M2"
"TMEM196"	"M2"
"SLC7A10"	"M1"
"FCGR3B"	"M4"
"CCER2"	"M2"
"C10orf107"	"M1"
"PDYN"	"M3"
"GRHL3"	"M1"
"UBXN10"	"M1"
"PTHLH"	"M5"
"EFNA2"	"M2"
"CFAP47"	"M1"
"RASEF"	"Not.Correlated"
"MYZAP"	"M1"
"ACTC1"	"M2"
"C2orf80"	"M2"
"KCTD8"	"M1"
"GDF10"	"M1"
"NINJ2"	"M1"
"PPBP"	"M4"
"ZBED6CL"	"M1"
"CXCL5"	"M1"
"HCN1"	"M3"
"BCL2A1"	"M4"
"SCGN"	"M5"
"PPP1R1C"	"M1"
"GRIN3A"	"M3"
"RTN4RL1"	"M3"
"HRASLS5"	"M1"
"TMEM26"	"M2"
"C1orf158"	"M1"
"TRPC5"	"M3"
"SLC5A11"	"M1"
"NHLH2"	"M1"
"EBI3"	"M1"
"AQP5"	"M2"
"ZFR2"	"M3"
"IL20RA"	"M1"
"CFAP157"	"M1"
"C2orf16"	"M6"
"MUM1L1"	"M2"
"EN2"	"M5"
"MAL2"	"M3"
"ANKRD29"	"M1"
"SHOX2"	"Not.Correlated"
"NPAS1"	"M6"
"TMEM257"	"M2"
"SLC29A2"	"M1"
"MAP3K19"	"M1"
"IL21R"	"M4"
"KCTD4"	"M2"
"SYNDIG1L"	"M1"
"HK3"	"M4"
"SLC27A6"	"M1"
"ASIC2"	"M3"
"ITIH2"	"M4"
"CEP295NL"	"M5"
"CCK"	"M3"
"TMEM233"	"M4"
"ARSI"	"M4"
"HOXD4"	"M2"
"AQP9"	"M4"
"C2CD4A"	"M4"
"FAM133A"	"M2"
"CFD"	"M1"
"PTGES"	"M6"
"MUC5B"	"M5"
"CA4"	"M1"
"MIA"	"Not.Correlated"
"GPR157"	"M4"
"HOXA9"	"M5"
"KANK4"	"M1"
"ARMC4"	"M1"
"PTGER3"	"M3"
"CCL28"	"M1"
"DCAF12L2"	"M2"
"HOXA5"	"Not.Correlated"
"GPAT2"	"M6"
"CDH15"	"Not.Correlated"
"HRH3"	"M3"
"TBC1D3C"	"M5"
"MKX"	"M1"
"BHLHE22"	"M3"
"FAM163A"	"M3"
"NPW"	"M6"
"RSPO3"	"M1"
"HOOK1"	"M3"
"TBX5"	"M5"
"FGF9"	"M3"
"A2ML1"	"M1"
"ZNF676"	"M5"
"FOXD3"	"M5"
"FAM162B"	"M2"
"ZBED9"	"M3"
"TAS2R30"	"M5"
"IBSP"	"M4"
"GSX2"	"M5"
"RGS20"	"M3"
"SLC13A5"	"M3"
"INS-IGF2"	"M5"
"CDKL2"	"M3"
"KLRC4"	"M2"
"SYDE2"	"M3"
"TNF"	"M4"
"RNF43"	"M1"
"TSTD1"	"Not.Correlated"
"CRHR1"	"M3"
"SLITRK6"	"M2"
"POTEE"	"M5"
"KHDRBS2"	"M3"
"FAM83G"	"M4"
"MTRNR2L8"	"M6"
"EGFL6"	"M4"
"GPR62"	"M1"
"FAM160A1"	"M5"
"HS3ST5"	"M1"
"ALOX15"	"M1"
"HSPB7"	"M1"
"BHMT2"	"M1"
"ATP13A5"	"M2"
"PABPC1L2B"	"M2"
"DUOX1"	"M1"
"CCNA1"	"M2"
"SLC18A3"	"M3"
"HOXC10"	"M5"
"KLRC3"	"M2"
"ADAMTS16"	"Not.Correlated"
"TNFRSF6B"	"M6"
"ELOA3D"	"Not.Correlated"
"GDF7"	"M3"
"VAX1"	"M5"
"DIO3"	"M1"
"NPIPA3"	"Not.Correlated"
"HOXD1"	"M1"
"SLC17A8"	"M3"
"NTN3"	"M5"
"CCL5"	"M4"
"TYRP1"	"M1"
"CLCF1"	"M4"
"NPIPB15"	"Not.Correlated"
"ADRA2B"	"M1"
"TMEM229A"	"M1"
"BDNF"	"M3"
"KCNMB2"	"M2"
"SLC25A48"	"M1"
"OPRK1"	"M3"
"LTK"	"Not.Correlated"
"TEKT1"	"M1"
"ELOA3"	"M5"
"MAPK15"	"M3"
"PRRX2"	"M6"
"GOLGA6L1"	"M5"
"PABPC1L2A"	"M2"
"TMEM52B"	"M1"
"ZNF385B"	"M3"
"CPNE7"	"M3"
"VAX2"	"M5"
"POU6F2"	"M2"
"DSC3"	"Not.Correlated"
"PTPN20"	"M1"
"SIX2"	"M5"
"PGA4"	"M1"
"PCK1"	"M5"
"ANKRD18A"	"M1"
"GALNTL6"	"M3"
"MPZL2"	"M4"
"LRTM2"	"M3"
"HOXB4"	"Not.Correlated"
"GPR88"	"M1"
"DRC1"	"M1"
"VGLL2"	"M1"
"RASAL1"	"M3"
"CLEC2L"	"M3"
"DKK1"	"M4"
"SYCE1"	"M3"
"ATP6V1C2"	"M6"
"CNTN6"	"M3"
"LILRA4"	"M1"
"SALL4"	"M5"
"NLRP2"	"M1"
"ATP2C2"	"M2"
"DMRTA1"	"Not.Correlated"
"GPR143"	"M1"
"SPESP1"	"M1"
"HIST1H4K"	"M5"
"GJB6"	"M3"
"ADM2"	"M4"
"TNN"	"M5"
"ZNF556"	"M1"
"MSX2"	"M1"
"AF241726.2"	"M5"
"POPDC3"	"M2"
"ZNF492"	"M5"
"ART3"	"M1"
"NPY5R"	"M2"
"IL1RN"	"M4"
"VWA3B"	"M1"
"LIN28B"	"M3"
"FMO2"	"M1"
"BTC"	"M1"
"ARHGEF35"	"M2"
"CCDC177"	"M3"
"CRH"	"M3"
"MFRP"	"M1"
"FOLR1"	"M1"
"FOXN4"	"M3"
"BMP8A"	"M2"
"TP53TG3D"	"M2"
"GALNT5"	"M4"
"GOLGA6L22"	"M5"
"MNX1"	"M5"
"DTHD1"	"Not.Correlated"
"C1orf94"	"M2"
"CHRM2"	"M3"
"CACNG2"	"M3"
"WNT4"	"M2"
"NRK"	"M5"
"TCERG1L"	"M3"
"WNT9A"	"M2"
"ZNF728"	"M5"
"TBC1D3D"	"M5"
"KCNK5"	"M2"
"NT5C1A"	"M3"
"C1orf194"	"M1"
"SP6"	"M4"
"RSPO4"	"M1"
"XIRP1"	"M4"
"RNASE2"	"M4"
"HBG1"	"M4"
"CDC42EP5"	"M4"
"HAND2"	"M5"
"SCN4A"	"M5"
"SYNPO2L"	"M2"
"CNTN5"	"M3"
"MME"	"M4"
"IP6K3"	"M1"
"EDARADD"	"M2"
"DMRTA2"	"M5"
"SIX3"	"M5"
"CXCL9"	"M4"
"PAX8"	"M4"
"TUBB1"	"M4"
"MYOT"	"M2"
"CYP3A5"	"Not.Correlated"
"CD8A"	"M3"
"FAM153B"	"M3"
"TLE6"	"Not.Correlated"
"SLC18A1"	"M2"
"FAM95C"	"M1"
"SLC26A1"	"M2"
"CPZ"	"M4"
"MARVELD3"	"M6"
"NTS"	"M1"
"SLC16A12"	"M4"
"IL5RA"	"M2"
"FOXD4L4"	"M5"
"SIAH3"	"M3"
"NPAP1"	"M3"
"FGF5"	"M3"
"PGA5"	"M1"
"NR5A2"	"M4"
"SST"	"M3"
"SPDYE3"	"M6"
"SLC9A2"	"M1"
"UBD"	"M1"
"CCDC39"	"M1"
"CXCR2"	"M4"
"KRBOX1"	"Not.Correlated"
"TNFAIP6"	"M4"
"NEUROG2"	"Not.Correlated"
"MAGEE2"	"M2"
"WNT11"	"M2"
"CD209"	"M4"
"ADAMTS19"	"M3"
"NHLH1"	"M3"
"RTP1"	"M2"
"CTAGE6"	"M5"
"SNTG2"	"Not.Correlated"
"GOLGA8Q"	"M5"
"SCNN1B"	"Not.Correlated"
"MYL3"	"M1"
"NMU"	"M5"
"PLEKHS1"	"M4"
"GLP1R"	"M2"
"LHX6"	"Not.Correlated"
"ADRA1D"	"M1"
"ZNF99"	"M5"
"MCTP2"	"M4"
"BCO1"	"Not.Correlated"
"WDR63"	"Not.Correlated"
"EBF2"	"M4"
"ASB4"	"M1"
"PLAC9"	"M1"
"POMC"	"M1"
"ASB5"	"M2"
"PCSK9"	"M3"
"C9orf129"	"M3"
"ADCYAP1"	"M3"
"CAMK1G"	"M3"
"DAO"	"M1"
"CCDC158"	"M2"
"TNNT3"	"Not.Correlated"
"CCNI2"	"M6"
"ADAMTS20"	"M2"
"PAQR9"	"M2"
"SP5"	"M5"
"CFAP74"	"M3"
"FOXD2"	"M4"
"KCNS1"	"M3"
"MYRFL"	"M5"
"ALX4"	"M5"
"ACVR1C"	"M3"
"HNF4G"	"Not.Correlated"
"ADRA2C"	"M3"
"NEUROD4"	"M3"
"S100A3"	"M1"
"C2CD4B"	"M6"
"TFPI2"	"M4"
"C1QL3"	"M3"
"ABCC12"	"Not.Correlated"
"AIRE"	"M4"
"PGA3"	"M1"
"GMNC"	"M1"
"PTPRR"	"M3"
"HOXD9"	"M5"
"HS3ST2"	"M3"
"IGFBP1"	"M6"
"LDLRAD2"	"M4"
"FAM19A1"	"M3"
"CFAP52"	"M1"
"NPY2R"	"M1"
"DDTL"	"M6"
"CYP19A1"	"M4"
"SPATA31A7"	"M5"
"EXOC3L2"	"M4"
"ALAS2"	"M4"
"MAMDC2"	"M4"
"FCRLA"	"M2"
"PNMT"	"M1"
"IL2RB"	"M4"
"AREG"	"M4"
"ONECUT1"	"M5"
"NPIPA2"	"M5"
"CTAGE8"	"M2"
"PIK3C2G"	"M1"
